,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,School Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
76,DePaul,31,7,24,0.226,-1.31,7.53,,1,17,,6,11,,1,9,,2104,2378,,68.9,97.3,0.333,0.288,0.505,44.5,58.2,10.7,7.7,0.471,16.8,30,0.227
77,Detroit Mercy,33,17,16,0.515,1.88,0.91,,10,8,,11,4,,6,11,,2459,2397,,70.5,104.1,0.471,0.26,0.548,52.4,47.7,10.6,12.9,0.509,18.7,36.4,0.324
78,Drake,31,13,18,0.419,-2.56,0.76,,7,11,,10,5,,2,10,,1997,2100,,65.4,98.1,0.381,0.356,0.526,45.8,52.3,8.6,7.6,0.49,16.6,23.9,0.261
79,Drexel,31,21,10,0.677,4.02,-0.01,,11,7,,12,2,,7,7,,1975,1850,,63.4,100.2,0.403,0.223,0.489,56.6,48.4,6.4,7.1,0.458,15.5,37.6,0.248
80,Duke NCAA,37,32,5,0.865,24.51,8.32,,13,3,,17,0,,6,4,,2993,2394,,70.2,115.2,0.374,0.353,0.576,51.9,50.9,10.4,9.7,0.537,14.7,35.1,0.282
81,Duquesne,32,19,13,0.594,10.33,1.49,,10,6,,10,2,,8,7,,2494,2177,,71.3,108,0.417,0.374,0.546,48,65.5,13.7,14.2,0.525,15.8,34.1,0.259
82,East Carolina,34,18,16,0.529,1.67,2.99,,8,8,,11,5,,4,7,,2319,2288,,65.8,102.9,0.494,0.417,0.543,48.5,59.9,9.8,7.7,0.5,18.3,31.2,0.342
83,East Tennessee State,36,24,12,0.667,2.08,-2.12,,16,4,,13,2,,9,7,,2515,2320,,66,105.2,0.445,0.281,0.54,51.4,44.7,10.2,11.2,0.503,17,33.9,0.301
84,Eastern Illinois,29,9,20,0.31,-11.41,-4.89,,4,14,,5,9,,4,11,,1749,1875,,63.7,94.3,0.32,0.239,0.5,51.2,57.2,9.3,7.6,0.46,18.8,32.4,0.232
85,Eastern Kentucky,31,15,16,0.484,-7.34,-6.48,,9,9,,8,5,,6,9,,2046,1957,,62.4,105,0.328,0.424,0.559,47.1,61.7,9.6,8.1,0.524,17,26.7,0.243
