"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"140","Wyoming","MWC",0.56139,140,107.609,122,105.324,192,65.6554,270,-10.889769988914,16,0.4836,0.4836,25,0.6506,0.6506,NA,2023
"141","Southern Illinois","MVC",0.561008,141,100.514,260,98.3928,61,63.8427,334,-3.0010267405232,13,0.3966,0.3966,14,0.4602,0.4602,NA,2023
"142","Missouri St.","MVC",0.552178,142,104.366,174,102.482,131,62.0715,357,-7.6297514945715,19,0.4772,0.4772,15,0.4822,0.4822,NA,2023
"143","Notre Dame","ACC",0.551256,143,108.675,103,106.748,223,64.8127,306,-11.790114738098,10,0.4458,0.4458,19,0.5853,0.5853,NA,2023
"144","Eastern Kentucky","ASun",0.549148,144,103.426,200,101.667,114,70.2213,40,-6.177529776682,16,0.4234,0.4234,14,0.4382,0.4362,NA,2023
"145","DePaul","BE",0.547167,145,106.734,131,104.992,183,68.7867,106,-8.9642722696927,20,0.5677,0.5677,31,0.7093,0.7093,NA,2023
"146","Long Beach St.","BW",0.544433,146,105.4,157,103.78,162,73.0558,2,-8.4746623903313,22,0.5176,0.5176,15,0.4761,0.4761,NA,2023
"147","Portland","WCC",0.543418,147,110.164,78,108.509,265,69.3268,76,-8.9311380825295,16,0.4591,0.4591,21,0.5661,0.5661,NA,2023
"148","LSU","SEC",0.542211,148,106.049,143,104.5,172,65.8697,260,-6.8208406174458,10,0.4088,0.4088,27,0.6395,0.6395,NA,2023
"149","Fordham","A10",0.539814,149,102.028,227,100.622,97,69.5806,63,-1.8007186857525,9,0.2817,0.2817,12,0.4359,0.4359,NA,2023
"150","Troy","SB",0.539033,150,102.82,210,101.431,110,67.8395,154,-5.8811090710608,15,0.3796,0.3796,14,0.4531,0.4531,NA,2023
"151","Appalachian St.","SB",0.537112,151,101.647,235,100.341,89,65.1373,291,-9.9450785530196,10,0.3866,0.3866,12,0.4446,0.4446,NA,2023
"152","Georgia Tech","ACC",0.533851,152,104.023,179,102.803,140,66.599,216,-8.3174125569827,14,0.3755,0.3755,20,0.5662,0.5662,NA,2023
"153","Cal Baptist","WAC",0.530281,153,103.164,206,102.081,120,64.1049,328,-9.6021949904365,6,0.318,0.318,12,0.4605,0.4605,NA,2023
"154","Georgia","SEC",0.52768,154,103.953,182,102.956,142,67.6734,160,-5.3028192029606,10,0.3935,0.3935,24,0.6009,0.6009,NA,2023
"155","UC Riverside","BW",0.523725,155,106.285,138,105.411,198,66.9372,196,-4.2842277670428,20,0.5291,0.5291,15,0.4938,0.4938,NA,2023
"156","Northern Kentucky","Horz",0.522017,156,103.122,208,102.335,125,61.9159,359,-6.5146937905712,17,0.4969,0.4969,12,0.4096,0.3934,16,2023
"157","Youngstown St.","Horz",0.521659,157,110.618,69,109.787,289,68.1608,137,-5.2260059433543,6,0.2981,0.2981,7,0.3413,0.3271,NA,2023
"158","SMU","Amer",0.520516,158,103.459,197,102.723,137,69.4725,68,-10.09407992238,23,0.5851,0.5851,27,0.6438,0.6438,NA,2023
"159","Seattle","WAC",0.51856,159,100.275,270,99.6299,79,68.9768,94,-4.6808805156623,13,0.4491,0.4491,14,0.5105,0.5105,NA,2023
"160","Pacific","WCC",0.51762,160,107.753,116,107.095,232,69.7625,52,-9.7925568640346,10,0.3809,0.3809,16,0.5211,0.5211,NA,2023
"161","UC Davis","BW",0.514139,161,103.748,188,103.239,148,70.5991,33,-8.1045920108552,14,0.3796,0.3796,12,0.4276,0.4276,NA,2023
"162","Montana","BSky",0.513908,162,108.066,110,107.544,245,63.6667,336,-7.613111198209,21,0.5128,0.5128,14,0.4537,0.4537,NA,2023
"163","George Mason","A10",0.512783,163,101.086,248,100.638,98,66.3963,224,-5.7921955466959,13,0.4896,0.4896,14,0.5052,0.5052,NA,2023
"164","UNC Wilmington","CAA",0.511432,164,101.537,238,101.134,104,65.2526,285,-2.8597945243537,21,0.4905,0.4905,14,0.4181,0.4181,NA,2023
"165","Longwood","BSth",0.511277,165,103.665,191,103.259,150,66.039,249,-7.6269996173028,12,0.2985,0.2985,9,0.3247,0.3247,NA,2023
"166","Brown","Ivy",0.508438,166,100.636,256,100.341,90,69.3868,72,-7.2372336060823,15,0.4262,0.4262,14,0.4588,0.4588,NA,2023
"167","Boston College","ACC",0.503901,167,102.722,213,102.583,133,66.6049,215,-6.8182394128241,10,0.4346,0.4346,21,0.6001,0.6001,NA,2023
"168","Cleveland St.","Horz",0.503663,168,104.385,173,104.252,168,65.6644,269,-8.1219155148733,13,0.3987,0.3987,9,0.3654,0.36,NA,2023
"169","Richmond","A10",0.502551,169,102.544,218,102.453,129,65.3559,281,-10.455865903347,15,0.4825,0.4825,15,0.5127,0.5127,NA,2023
