RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
146,Kennesaw St.,CUSA,34,21,110.8,109.5,0.5338,50.7,48.5,16.7,16.1,35.5,31.3,45.1,47.5,50.8,47,33.7,33.9,71.3,-8,14
147,Penn,Ivy,29,18,106.6,105.4,0.5315,50.3,51.7,15.4,17.8,30.3,30.5,35.2,27.5,46.2,54.4,38.7,31.7,69,-6,14
148,Navy,Pat,33,26,106.5,105.4,0.5283,53.2,48,16.8,18.3,31.6,26.9,39.6,25.6,52.9,50.4,36,30.1,65.2,-4.2,N/A
149,Loyola Marymount,WCC,32,15,106.5,105.4,0.5279,51.8,48.9,17.5,16.6,26.7,32,31.1,32.5,51.6,47.2,34.8,34.6,67.2,-10.1,N/A
150,Robert Morris,Horz,33,22,110,108.9,0.527,54.9,50,18.6,15.9,37.5,28.8,28,40.1,53.5,50.2,38,33.2,64.5,-6.7,N/A
151,Eastern Washington,BSky,33,14,113.1,112.1,0.5266,53.7,54.9,17.7,16.2,31.3,30.8,36.1,37.3,53.6,56.3,35.9,35.2,67.8,-12.1,N/A
152,Rhode Island,A10,32,16,104.2,103.3,0.5244,50.1,50.4,19.2,21.1,31,31.8,38.4,42.6,52.8,49.3,31.1,34.7,65.8,-9.5,N/A
153,Bowling Green,MAC,32,18,106,105.1,0.523,51.8,51,16.5,18.4,28.7,26.9,37,37.2,51.9,51.6,34.4,33.5,68.2,-9.7,N/A
154,St. Bonaventure,A10,34,17,113.1,112.4,0.52,52.4,53.3,16.8,17.1,34.5,29.8,30,33.9,50.8,52.8,37.4,36,67.1,-10,N/A
155,Cornell,Ivy,28,15,119.8,119.1,0.5172,58.5,55.9,16,15.1,30.2,30.6,30.2,37.2,59.7,55.7,38.3,37.5,71.4,-8.3,N/A
156,Kent St.,MAC,33,24,110.6,110,0.5158,51.9,52.1,18.1,16.4,35.8,29.6,44.3,39.8,51,51.9,35.3,34.9,70.6,-3.9,N/A
157,Middle Tennessee,CUSA,32,17,109.7,109.1,0.515,51.6,51,17.1,15,30.7,28.5,32.7,35.7,52.3,51,33.8,33.9,65.5,-8.8,N/A
158,Portland St.,BSky,31,20,103.1,102.6,0.513,50.6,48.8,16.9,18,30,26.4,37.1,42.8,51.5,49,32.6,32.3,67.8,-6.3,N/A
159,Austin Peay,ASun,31,22,108.7,108.2,0.5124,53,52.2,15.4,17.9,29.7,28.9,37.6,32.8,53,53.9,35.3,33.2,69.2,-5.3,N/A
160,William & Mary,CAA,32,20,110.4,110,0.5107,54.3,51.9,16.5,19,26,31.5,44,35.5,57.9,53.7,33,33.1,72.6,-7.1,N/A
161,Oregon St.,WCC,33,17,109.4,109,0.5098,50.5,50.3,17.7,15.3,26.8,32.1,43.1,35.1,48.8,51,35,32.9,65.2,-7.5,N/A
162,Georgia Tech,ACC,31,11,106.9,106.6,0.5093,50,49.9,18.6,15.6,29.9,30.7,33.3,34.2,48.7,50.1,35.1,33.1,70.9,-9.7,N/A
163,Valparaiso,MVC,33,18,107.6,107.2,0.509,47.6,50.5,15.7,16.9,32.5,30.1,39.1,35.1,45.8,51.9,33.9,32.1,65.1,-8.3,N/A
