RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED
207,Columbia,Ivy,28,16,107.9,110.8,0.4237,53.5,51.2,19.3,15,36.1,27.2,28.6,33.5,53.2,50.3,35.9,35.2,66.8,-7.8,N/A
208,Marist,MAAC,31,19,99.6,102.4,0.4193,49.3,45.6,16.9,19.5,29.1,28.3,25.7,37.6,49.8,47.1,32.2,28.6,66.2,-9.3,N/A
209,Mercer,SC,32,19,110.7,114,0.4169,53.1,52.5,15,17,32.6,33.2,39.2,29.7,53,51.3,35.6,36.2,68.9,-8.5,N/A
210,James Madison,SB,33,18,109.1,112.4,0.4149,53.1,49,17.3,12.8,30.6,29.5,35.9,40.8,53.2,48.9,35.4,32.7,66,-10.4,N/A
211,Rice,Amer,31,13,109,112.6,0.4083,48.5,51,17.9,15.7,35.3,34.6,33.9,40.4,46.2,51,34.3,34,65.6,-12.3,N/A
212,Marshall,SB,32,19,111.9,115.7,0.4053,54.8,50.3,16.6,16.3,31.9,33.8,29.2,41.1,54.6,50.3,36.8,33.6,69.4,-8.5,N/A
213,San Jose St.,MWC,33,9,112.7,116.6,0.404,49.7,57.1,15.1,17.4,29.3,36.5,33.4,35.3,47.6,59.1,35.3,36,65,-14,N/A
214,Drake,MVC,34,14,109.5,113.3,0.4031,51.4,52.6,15,14.6,26.6,29.9,33.5,32,51.7,51.1,34,36.4,67.1,-13.6,N/A
215,San Diego,WCC,33,12,108.5,112.3,0.403,51.2,54.7,17.5,18.9,28.1,34.5,25.8,38.8,50.8,58.5,34.6,32.7,68.1,-13.4,N/A
216,La Salle,A10,32,9,106,109.7,0.4029,45.4,55,18.2,17.1,33.7,32.4,37.5,31.5,45.6,55.1,30,36.5,65.8,-14.8,N/A
217,Cal Poly,BW,33,14,109.4,113.3,0.4012,51.5,53.8,19.9,16.2,30,29.6,34.9,34.1,53.7,55,33,34.7,74.1,-12.4,N/A
218,Tennessee St.,OVC,32,23,107.8,111.9,0.3944,50.1,51.2,16.5,20,34.9,29.9,33.5,41.6,49.9,51.8,33.7,33.5,70.1,-5.7,15
219,Buffalo,MAC,32,17,111.3,115.7,0.3883,55.4,55.1,16.1,17.9,27.1,31.1,39.6,31.4,54.1,56.9,37.9,35.1,66.5,-10.4,N/A
220,Quinnipiac,MAAC,32,19,103.7,107.9,0.3879,48.2,48.9,15.9,17.4,34.1,32,33.8,30.6,46.7,47.1,34,34.9,70.1,-8.6,N/A
221,Southern Miss,SB,35,19,104.6,108.8,0.3877,49,51.4,18.4,17.8,32.5,28.8,43.2,43.6,51.3,51.1,28.9,34.5,69.1,-11,N/A
222,South Dakota St.,Sum,32,14,107.5,111.9,0.3863,52,51.8,16.1,14.5,30.3,25.1,29.7,34.5,52.7,52.4,34,34.1,67,-12.7,N/A
223,Western Carolina,SC,31,15,109.4,114,0.3828,50.4,54.9,16.8,14.5,35.4,26.3,31.3,37.8,50.6,54.8,33.5,36.7,67.9,-10.7,N/A
224,Bethune Cookman,SWAC,32,17,104.1,108.6,0.3815,51,49.7,19.2,15.8,30.1,31.7,40.9,38.6,51.6,49.9,33,32.9,69,-8.5,N/A
225,Tarleton St.,WAC,32,14,103.3,107.8,0.3808,48.3,53.6,20,23.4,31.5,35.1,41.9,47.7,48.2,54.4,32.5,34.9,69.5,-11.9,N/A
226,Ohio,MAC,32,15,108.3,113.2,0.3758,50.9,53,15.5,16.1,28.4,32.8,36.9,38.2,54.5,51.9,30.1,36.8,68.9,-11.6,N/A
227,Stony Brook,CAA,32,17,105.2,110.2,0.3704,50.2,50.7,16.8,17.1,28,32.4,28.4,35.4,48.5,48.8,34.8,35.7,66.2,-10.7,N/A
228,Texas St.,SB,32,19,104.4,109.6,0.3645,50,52,18.6,18.5,33.9,28.4,34,39.1,50.5,51.1,32.2,35.7,66.1,-9.8,N/A
229,Georgia Southern,SB,37,21,110,115.9,0.3543,51.4,52.3,14.6,18.7,28.8,35.2,39.6,41.4,52.7,52.9,33.4,34.3,70.1,-12,N/A
230,Coastal Carolina,SB,32,19,101.8,107.5,0.3492,47.9,46.8,15.2,12.3,26.9,27.6,32.3,34.9,46.1,45.5,33.5,32.8,67.1,-8.9,N/A
231,Denver,Sum,32,15,115,121.4,0.3487,53.6,56,14.3,13,29.8,32.8,34.1,36.8,52.6,56.6,36.8,36.7,68,-10.9,N/A
232,Samford,SC,32,18,107.8,113.9,0.3468,53.1,51.9,13.4,13,25.3,25.7,41.9,32.9,52.8,50.3,35.6,36.5,67.3,-9.8,N/A
233,Lipscomb,ASun,32,19,105,111.1,0.3449,54.1,53.2,16,17.7,25.8,30.2,26,29,54.5,54.3,35.7,34.3,69.5,-7.8,N/A
234,Old Dominion,SB,33,12,106.2,112.4,0.341,50.7,50.8,15.4,14.5,26,30.3,34.7,42,48.8,52.4,36,32,68.9,-15.4,N/A
235,LIU,NEC,34,24,103.6,109.8,0.3407,53.3,49.8,19,18.9,34.3,32.6,34.7,34.1,52.9,50.8,36.1,31.9,67.8,-5.8,16
236,Eastern Michigan,MAC,31,10,101.6,107.7,0.3384,49.6,50.3,17.4,15.6,27.8,29.1,29.3,35.5,50,50.8,32.4,32.9,66.5,-14.7,N/A
237,Florida Gulf Coast,ASun,34,16,105.2,111.5,0.3369,52,53.4,15.9,16.5,31.1,28.2,29.1,38.3,53.3,53.6,33.2,35.4,67.6,-13.4,N/A
238,Nebraska Omaha,Sum,33,16,106.1,112.6,0.3344,52.2,52.7,16.1,14.1,25.5,28.7,34.5,33.6,53,55.6,34,32.9,67.1,-12.3,N/A
239,Long Beach St.,BW,32,10,104.3,110.8,0.3323,50.6,53.7,18,17.5,26.2,27.8,30.7,42.3,51.5,54.8,32.7,34.4,68.4,-15.7,N/A
240,Saint Peter's,MAAC,29,17,103.2,109.8,0.3301,46.4,48.1,17.7,20,37,34.7,35.5,46.4,46.2,48,31,32.1,65.5,-8.4,N/A
241,Radford,BSth,32,16,106.4,113.2,0.3281,51.3,53,17.1,18.5,29.8,32.2,42.4,40,52.3,52.9,33.5,35.5,70.7,-11.8,N/A
242,American,Pat,32,16,105.2,112.2,0.3237,51.5,54.4,15.6,19.2,26.9,29.4,28.7,42.1,53.3,55.1,33,35.5,66.7,-11.6,N/A
243,Iona,MAAC,32,18,104,110.9,0.3236,51.9,48.9,17.2,16.6,27.8,31.2,29.3,28.8,51.2,51,35.1,30.6,69.1,-10.4,N/A
244,Central Michigan,MAC,31,10,106.5,113.6,0.3233,51.8,54,18.1,17,29.2,34.3,31.4,39,52.2,54.4,33.9,35.5,67.1,-15.4,N/A
245,Boston University,Pat,34,17,111.7,119.2,0.3221,57.5,53.6,17.8,13,28,28,31.4,30.5,56.9,52.8,38.8,36.6,63.1,-13.7,N/A
246,Colgate,Pat,33,18,107.4,114.7,0.3192,53.3,52.2,14.6,15.3,26.6,29.3,29.7,33.8,53.2,52.2,35.6,34.8,66.8,-10,N/A
247,UC Riverside,BW,32,10,103.6,110.7,0.3186,48.9,52.7,19,15.5,27.8,30,35,40.9,49.9,53.8,31.6,33.5,68.5,-15.3,N/A
248,Nicholls St.,Slnd,33,9,104.8,112,0.3182,50.6,54.4,17.4,20.5,28.1,33.7,34.5,37.9,51.2,56,33.3,34.6,68.3,-12.8,N/A
249,Southern,SWAC,34,17,106.1,113.4,0.3166,49.1,53.2,16.5,18.6,31.4,31.3,39.8,42.9,47.7,52.1,34.8,36.7,69.8,-11,N/A
250,Princeton,Ivy,29,9,105,112.4,0.3143,49.6,52,17.1,14.3,27.2,28.5,34.6,34,48.6,55.7,33.9,31.1,63.9,-14.9,N/A
251,Southeast Missouri St.,OVC,33,20,101.1,108.2,0.3142,49.8,48.8,16.9,18.1,29.6,28.2,38.8,48,51.8,48.4,30.9,33.1,68.9,-9.3,N/A
252,Charleston Southern,BSth,32,15,104.8,112.2,0.3139,54.1,46.9,18.5,12.8,29.4,30.3,30.5,43.3,54.6,46.6,35.6,31.9,71.6,-13.3,N/A
253,Lamar,Slnd,31,12,102.8,110.1,0.3129,47.8,50.9,18.1,17.3,35.7,29.4,27.9,44.4,47,49.7,32.9,35.3,65.4,-14.1,N/A
254,Pepperdine,WCC,32,9,105.6,113.2,0.3103,47.6,54.2,18.3,16.5,29.1,34,33.8,28.5,48,54.9,31.4,35.5,68.4,-15.1,N/A
255,Abilene Christian,WAC,33,14,99.9,107,0.31,47.5,56.5,20.8,23.4,31,29.1,41.7,53.5,48,54.4,31,40.9,67.4,-12.7,N/A
256,Vermont,AE,34,22,104.8,112.5,0.3083,53.1,50.4,14.3,14.8,26.2,23,31.1,36.4,55.7,48.6,33.3,35.3,64.7,-9.4,N/A
257,UNC Asheville,BSth,32,15,103.8,111.3,0.3078,51,51.3,17.4,15.5,29.8,31.3,40,38.7,50.1,52.8,35.1,32.6,64.8,-12.7,N/A
258,Fairfield,MAAC,34,21,105.4,113.1,0.3074,48.8,51,15.3,16.8,35.8,29.1,27.7,30.4,48.2,50.8,33.2,34.3,67.1,-9.9,N/A
259,East Carolina,Amer,31,11,103.6,111.3,0.3055,46.4,52.3,17.1,16.2,33.4,32.5,39.2,32.2,47.5,52.2,29.3,34.9,68.7,-13.8,N/A
260,Idaho St.,BSky,33,13,108.8,117,0.3035,51.8,54.5,17,14.7,32.8,27.9,37.9,38,52.9,56.1,33.6,34.5,65.2,-14.1,N/A
261,SIU Edwardsville,OVC,32,19,98.9,106.3,0.3021,49.5,45.6,17.9,17,30.1,31.6,30.6,34.3,47.8,45.8,35,30.2,64.4,-10.6,N/A
262,Southern Utah,WAC,32,10,106.4,114.5,0.2997,50.7,53.2,20.3,14.8,28.8,33.6,33.1,29.8,51.4,51.7,33,38,70.4,-15.5,N/A
263,Tennessee Martin,OVC,33,22,98,105.5,0.2983,48.7,46.1,21.4,20,37,32,37.4,35.8,51.5,46.7,30.3,30.2,64.3,-8,N/A
264,Elon,CAA,32,14,108,116.4,0.2975,52.2,54,15.9,16.4,32.2,33.5,33.5,34.6,52.8,53.3,34.3,36.5,66.8,-13.2,N/A
265,Purdue Fort Wayne,Horz,32,17,104.9,113.3,0.2919,52.6,56.1,14.5,19.1,22.9,34.5,30.6,28.5,53.7,55.5,34.2,37.9,67.7,-9.3,N/A
266,Sacramento St.,BSky,31,10,105.5,114.1,0.2896,47,55,14.1,17.1,25.2,33.4,41.2,36.2,46.6,56.8,31.9,35.2,71.7,-14.7,N/A
267,North Dakota,Sum,35,18,106.7,115.4,0.2892,49.4,56.5,14.1,19.4,27.4,32.4,37.8,43.8,49.7,57.2,32.7,37.1,67.3,-11.3,N/A
268,Wofford,SC,32,19,108.1,117,0.2871,52.5,53.8,13.4,14.9,29.8,29,36.2,36.8,52.5,53.4,35,36.4,67.8,-9.5,N/A
269,Longwood,BSth,32,16,103,111.7,0.2826,49.7,53.8,19.1,19.8,34.6,27.7,41.3,42.1,51.1,56.1,31.4,33.8,68.5,-12.7,N/A
270,UTEP,CUSA,31,11,101.1,109.7,0.2824,48.3,51.5,17.4,18,26.2,32.8,33.4,42,46.5,51.9,33.9,34,65.2,-14.8,N/A
271,Dartmouth,Ivy,27,11,104.6,113.5,0.2811,51.8,52.7,17.6,13.8,23.7,29.7,38,30.7,49.4,53.2,36.1,34.6,69.5,-11.6,N/A
272,Lindenwood,OVC,33,18,100.2,108.7,0.2808,48,49.1,18.7,18.4,33.2,31.8,38.6,37.4,49.6,49.4,29.4,32.4,72.4,-11.2,N/A
273,Milwaukee,Horz,32,12,106,115.2,0.2783,49.9,55.5,15.2,15.8,33,29.2,32.1,35.9,50.8,56,32.3,36.5,67.6,-13.6,N/A
274,Incarnate Word,Slnd,31,12,108.6,118.1,0.2761,50.2,54.5,17.2,15.7,32.1,32,34,41.6,47.7,56,36.1,34.4,65.5,-13.8,N/A
275,Loyola Chicago,A10,33,9,103.2,112.3,0.2746,49.8,52,19.8,12.9,30.5,29.7,34.8,33.6,51.9,49.5,31.7,36.8,65.8,-16,N/A
276,Delaware,CUSA,31,10,105.7,115.1,0.2725,53.3,51.5,18.2,14,20.8,31.1,30.6,30.2,51.7,50.6,36.8,35.1,63.1,-16.1,N/A
277,South Dakota,Sum,32,16,104.3,113.8,0.2688,49.9,54.5,16.6,15.9,28.7,30.3,45.2,31,50.7,55.7,32.3,34.5,70,-11.6,N/A
278,Mount St. Mary's,MAAC,32,15,99.2,108.3,0.2673,50.6,47.2,22.4,15.3,32.3,29.1,33.3,37.3,51.8,46.2,32.7,32.3,67.8,-12.5,N/A
279,Ball St.,MAC,31,12,99,108.3,0.2643,47,52.7,16.2,18.7,27.1,31,31.6,32.1,47,53,31.4,34.8,63.7,-14.6,N/A
280,Western Michigan,MAC,31,10,107.1,117.5,0.2572,49.9,54.4,16.9,13.4,30.5,29.1,32.8,37.5,48.1,54.5,35.3,36.1,67.8,-15.4,N/A
281,Prairie View A&M,SWAC,35,18,101.4,111.4,0.2544,47.9,50.4,16,19.1,27.1,34.8,42.8,43.9,47,49.4,33.2,35,70.9,-12.6,16
282,Presbyterian,BSth,33,15,102.4,112.5,0.2533,51,51.2,19.3,15.7,33.1,30.6,39.3,37.1,52.3,50.6,31.6,34.7,64.2,-13.7,N/A
283,Lehigh,Pat,34,18,102.6,112.8,0.2517,53.3,50.6,17.5,16.3,22.8,31.7,32.2,32.8,52.4,51.2,36.5,32.8,66.9,-12,16
284,Mercyhurst,NEC,34,17,101.3,111.5,0.2498,49.5,50.1,14.3,18.7,26.4,29.9,25.6,42.6,50,51,32.1,32.3,64.6,-13.3,N/A
285,Jacksonville,ASun,32,12,103.4,113.9,0.2486,50,54.8,17.2,15,31.7,29.1,32.8,42.7,51.5,55,31.7,36.3,63.5,-14.9,N/A
286,Louisiana,SB,33,11,101.6,111.8,0.2483,47.1,52.6,16.8,18.3,28.3,32.3,28.7,45.8,44.8,52.2,33.6,35.6,63.3,-17,N/A
287,UNC Greensboro,SC,34,15,107.9,119.1,0.2432,52,56.2,15,13.7,28.1,29,42,30.6,51,55.6,35.6,38,67.7,-15.2,N/A
288,Arkansas Pine Bluff,SWAC,32,13,104.9,115.8,0.2428,50,52.6,18.7,16.5,27.9,34.2,38.4,43.6,49.8,54.4,33.6,33.2,69.3,-12.9,N/A
289,Brown,Ivy,27,9,97.8,108,0.2425,48.6,51.3,19.5,18.7,29,30,28.1,37.6,50.4,52.2,30.3,33.5,66.7,-14.5,N/A
290,Morehead St.,OVC,33,20,106.4,117.7,0.239,49.2,50.2,18,15.4,35.8,35.8,37.7,35.6,49.7,49.1,32,34.5,65.3,-9.1,N/A
291,IU Indy,Horz,32,7,106.2,117.5,0.2376,52.2,58.2,15.9,19.2,28.7,35.6,21.7,46.6,54.8,58.4,32.4,38.5,73.7,-20,N/A
292,Florida A&M,SWAC,31,15,98.8,109.4,0.2373,49.2,51.2,21.5,19.1,30.9,30.9,37.4,39.6,49.4,50.6,32.6,34.9,68,-11.8,N/A
293,East Texas A&M,Slnd,32,11,100.6,111.5,0.235,49.2,52.9,19.2,17,25.7,32.8,32,34.5,51.2,51,31.3,37.3,68.4,-15,N/A
294,Northeastern,CAA,31,7,106.9,118.5,0.2349,52.4,56.4,16.4,16.8,27.3,30.2,29.4,41.9,53.6,57.8,33.7,35.8,69.7,-19.2,N/A
295,West Georgia,ASun,32,15,102.1,113.2,0.2343,49.6,53.4,15.9,14.7,31.5,29,29.2,36.9,49.6,55.7,33.1,33.1,69.1,-12.5,N/A
296,Southeastern Louisiana,Slnd,31,9,99.4,110.2,0.2339,46.7,52.4,18.4,19.1,28.6,31.4,40.3,41.2,49.4,51.4,28.4,36,65.4,-16.5,N/A
297,Sacred Heart,MAAC,33,14,106.8,118.6,0.2314,52,53.5,17.7,14.5,28.6,30.9,31,27,50.4,54.4,35.7,34.8,68.4,-15.2,N/A
298,Bellarmine,ASun,32,13,115,127.8,0.229,59.4,59.4,15.5,15,22.4,34.2,35,34.3,61,58.1,38.1,40.4,64.6,-14.4,N/A
299,Eastern Kentucky,ASun,32,11,108.6,120.9,0.2248,52.1,56.1,16.9,14.8,32.5,31.7,30.7,38.5,51.6,57.4,35,36.2,67.2,-16.5,N/A
300,Grambling St.,SWAC,33,14,96.3,107.3,0.2245,48.8,50,21.2,20.8,30.3,32.5,41.1,40,48.9,50.5,32.3,32.7,67.5,-14.9,N/A
301,Oral Roberts,Sum,33,10,102.3,114,0.224,49.7,53.6,18.5,14.7,28.4,31.8,34.8,39.1,51.1,52.2,32,37.4,67.7,-17.6,N/A
302,Evansville,MVC,32,7,102.3,114.3,0.2193,49.3,55.1,19.1,15.4,22,30.2,29.8,31.4,49.9,54,32.2,37.6,67,-17.7,N/A
303,USC Upstate,BSth,32,13,99.1,110.8,0.2168,48.3,51,18.2,16.4,29.2,31.4,32.8,36,48.9,49.5,31.4,35.6,67.6,-14.3,N/A
304,Hampton,CAA,32,13,100.6,112.6,0.2151,45.7,52,17,17.2,32.9,30,39.2,46.5,47.1,54,28.8,32.1,65.4,-14.6,N/A
305,Texas Southern,SWAC,30,12,102.1,114.3,0.2142,49.7,52.5,18.5,16.5,28.8,31.2,38.2,44,49.8,53.5,33.1,34.1,68.7,-13,N/A
306,Northwestern St.,Slnd,32,10,100.7,112.7,0.214,48.6,53,18.3,16.9,26.1,32.6,40.1,36.3,48,52.9,33.2,35.5,64.8,-16.3,N/A
307,Alabama A&M,SWAC,33,18,104.3,116.8,0.2136,49.2,52.1,16.5,16.6,27.5,29.5,45.4,38.6,47.5,51.5,35,35.4,65.2,-11.6,N/A
308,Alabama St.,SWAC,32,10,99.7,111.7,0.2124,47.1,52.2,18.3,18.7,31.9,31.5,34.9,42.3,46.8,52.8,31.8,34.2,69.3,-16.6,N/A
309,Houston Christian,Slnd,32,12,101.6,113.9,0.2122,49.7,54.2,18.9,17.6,29.9,32.5,36,30.7,50.9,55.3,31.7,35,64.1,-14.9,N/A
310,Stetson,ASun,33,12,105.1,117.9,0.2117,53.1,55.2,18.1,15.1,26.6,31.8,32.4,30.4,52.5,57.6,36,34.6,66.8,-15.9,N/A
311,North Carolina A&T,CAA,30,11,104.4,117.2,0.2093,50.7,52.9,18.6,14.1,31.7,28.6,42.3,37.5,52.3,51.7,31.6,36.6,68.5,-15.2,N/A
312,Chattanooga,SC,32,13,105.3,118.4,0.2066,54.2,51.7,14.4,13.2,21.8,31.7,29.7,42.6,55.8,52.1,35,34.2,67,-15.4,N/A
313,Central Connecticut,NEC,30,18,104.5,117.5,0.2065,51.6,50.2,16.2,14,27.5,30.4,31.2,26.9,50.5,50.3,35.8,33.4,64.8,-9.4,N/A
314,Le Moyne,NEC,32,15,100.8,113.5,0.2023,52.7,49.3,19.1,15,25.2,29.1,39.5,32.7,53.5,46.1,34.3,36,69.5,-13.8,N/A
315,Cleveland St.,Horz,33,11,109.7,123.6,0.2021,54.2,57.2,17.8,15.1,27,36.6,37.9,35.5,52,59.5,37.5,36.2,69.6,-16.9,N/A
316,Georgia St.,SB,32,10,99.3,112.1,0.2,44.2,50.6,15.9,16.4,27.7,33.6,37.2,34.9,42.9,51.2,30.6,33.1,67.9,-17.7,N/A
317,Wagner,NEC,31,14,102,115.1,0.1989,49.6,50.4,18.5,14.9,32.8,29.6,32.3,40.8,46.6,49.9,36.6,34.3,65.5,-13.5,N/A
318,Northern Arizona,BSky,32,10,105.7,119.3,0.1982,51.7,56.9,16,16.6,23.3,33.4,31.8,32.7,50.7,56.1,35.6,38.7,63.8,-16.7,N/A
319,Albany,AE,32,11,103.5,117.9,0.1817,51.3,53.2,18.5,15.8,32.7,32.4,24.9,35.7,52.8,52.7,32.6,36,65.3,-17.4,N/A
320,UMass Lowell,AE,33,15,102.7,117.1,0.1801,49.8,53.5,18,14.2,32.7,29.4,34.9,28.3,50.5,54.4,32.2,34.6,69.3,-13.7,N/A
321,Lafayette,Pat,32,11,100.4,115.4,0.1685,49.3,53.6,15.3,15.1,25.8,28.6,32.4,30.6,50,53.4,32.2,36,66.8,-17.1,N/A
322,NJIT,AE,33,16,97.3,112.1,0.1652,46.7,50,17.1,16.2,26.2,32.1,33.2,37.9,47.5,51.1,30.4,32.3,68,-12.4,N/A
323,Tennessee Tech,OVC,31,13,101.8,117.2,0.1646,48.9,51.5,19.1,15.1,31.3,30.7,35.5,31.3,50.1,50.3,31.1,35.8,67,-14.6,N/A
324,Cal St. Bakersfield,BW,32,8,101.7,117.3,0.1618,45.7,54,18.9,17.9,30.4,35.6,42.2,42.6,46.6,53.9,29,36,70,-18.1,N/A
325,Loyola MD,Pat,32,12,103.5,119.5,0.1617,50.4,54.7,15.5,15.3,27.6,29,29.9,32.7,51.9,58.3,32.6,32.8,68.2,-16.8,N/A
326,Bucknell,Pat,33,10,98.8,114.1,0.1606,48.5,54.7,19,17.9,27,31.3,29.8,35.3,50.4,54.1,30.6,37,67.1,-18.2,N/A
327,Little Rock,OVC,32,12,101.1,116.8,0.1596,49.4,51.8,18.4,18.5,31.5,36.6,27.7,33.1,47.9,51.9,35.3,34.4,66.5,-16.4,N/A
328,North Florida,ASun,32,7,106.9,123.8,0.1566,52.9,56.3,17.9,12.7,25.2,37.6,28.8,31.4,53.4,58.7,35,35.1,70.5,-19,N/A
329,New Haven,NEC,31,14,96,111.6,0.1504,48.7,51.8,17.8,17.1,21.5,26.8,31.7,27.7,51,52.1,30.2,34.3,63.4,-13.1,N/A
330,Eastern Illinois,OVC,33,13,96.7,112.6,0.1472,45.7,50.8,18.6,19.3,28.2,35.2,33.5,35.3,44.9,53.1,31.7,31.7,65.6,-15.2,N/A
331,Norfolk St.,MEAC,32,15,101.2,118.3,0.1421,49.3,51.7,18.7,18.8,32.5,32.3,43.5,45.3,48.4,54.4,34.2,32,68.1,-13.4,N/A
332,Jackson St.,SWAC,33,12,101,118.2,0.1399,45.7,53,19.4,16.5,29.7,37.2,37.4,41.9,44.6,53.5,31.4,34.8,69.6,-13.9,N/A
333,Holy Cross,Pat,33,11,100.7,117.9,0.1397,49.8,54.8,15.3,14.1,21.9,27,31.5,27.6,50.4,57.2,32.5,34,65.4,-18.2,N/A
334,Manhattan,MAAC,32,12,103.6,121.6,0.1358,47.9,53.9,15.6,16.7,28.6,37,34,25.7,47.8,53.3,32,36.6,68,-16.3,N/A
335,Niagara,MAAC,30,8,99.9,117.3,0.1354,50.5,52.8,18.9,16.6,24.8,32.9,26.6,33.8,50.5,52.7,33.7,35.3,62.2,-18.3,N/A
336,UTSA,Amer,30,5,100.5,118.2,0.1348,44.8,53.3,17.5,14.7,30.2,38.7,29.5,33.3,45.5,53.8,29.2,35.1,68.6,-18.7,N/A
337,Stonehill,NEC,33,12,92,108.4,0.1317,46.9,47.8,19.4,13.4,27.5,27.1,27.3,30.3,46.5,46.7,31.7,33.4,66.4,-17.6,N/A
338,North Alabama,ASun,30,9,99.9,118,0.1284,48,55.2,17.5,14.5,31.2,32.2,37.6,30.3,49.1,56.5,30.7,35.7,64.8,-17.1,N/A
339,Fairleigh Dickinson,NEC,32,11,100.6,119,0.1263,47.1,55.2,18.1,16.1,32,27.3,32.8,36.3,48.6,54.1,30.3,37.8,64.1,-16.7,N/A
340,Chicago St.,NEC,32,7,99.9,118.7,0.1214,45.3,56.7,15.6,20.1,28.3,35,30,38,44,60,32.1,35.6,65.6,-19.2,N/A
341,Army,Pat,32,11,99.7,118.5,0.1208,49.3,55.1,17.2,15.4,29.6,27.7,26.8,39.6,50.7,56.4,32,35.6,67.2,-17.4,N/A
342,Northern Illinois,MAC,30,9,95.7,113.7,0.1207,47.6,55.6,21.8,16.3,30.3,30,38.3,38.3,48.5,56.3,30.9,36.3,67.5,-15.4,N/A
343,Air Force,MWC,32,3,95.9,114,0.1201,48.9,56.4,21.9,15.1,21.4,31.3,35.1,36.6,51.1,56.3,30.6,37.6,66.3,-20.2,N/A
344,Alcorn St.,SWAC,32,9,97.2,115.7,0.1192,47.7,55,19.6,18.1,26.9,35.5,31.8,39.4,46.5,58,33.3,33,67.9,-16.4,N/A
345,Canisius,MAAC,31,10,95.6,114,0.1164,46.3,52.2,19.6,16,29.3,29.8,31.4,35.2,44,54.3,33.3,33,64.1,-17.6,N/A
346,Southern Indiana,OVC,30,7,95.9,114.6,0.115,43.7,49.4,17.2,16.4,31.4,33.8,37.2,36.2,43,48.7,29.9,34.1,67.7,-20.3,N/A
347,The Citadel,SC,33,11,100,120.6,0.1036,49.5,57.5,16.3,14.7,27.9,31.5,30,33.3,51,59.6,32,36.6,64.2,-18.5,N/A
348,Louisiana Monroe,SB,32,4,101.1,122.3,0.1009,47.8,57.1,16.9,15.7,25.1,35.4,38.8,27.7,47.4,58.4,32.2,36.9,70.3,-23.2,N/A
349,Maine,AE,32,8,92.3,111.9,0.0984,49.6,50.6,19.1,19.4,19.7,34.3,38.4,33.9,51.2,54.5,31.2,29.3,64.7,-20.6,N/A
350,New Hampshire,AE,30,9,95.6,116.2,0.0956,46.7,53.4,16.5,15.8,25.7,26.9,28.5,35.8,47.4,54.6,30.5,34.3,67.4,-16.4,N/A
351,Saint Francis,NEC,31,7,100.6,122.5,0.094,48.9,58.9,18.4,18.4,27.5,33.1,30.8,38.3,47.5,60.1,34.2,38.1,70,-19.4,N/A
352,North Carolina Central,MEAC,32,14,100.2,123,0.0866,47.5,54.5,18.1,19.9,30,39.4,39.3,36.9,46.7,54.5,32.6,36.4,65.7,-13.1,N/A
353,South Carolina St.,MEAC,32,10,95.4,117.4,0.0846,46.8,53.9,20.8,18.8,31.4,37.6,41.1,51.9,44.8,56.3,34,33.5,68.8,-17.4,N/A
354,Morgan St.,MEAC,30,14,98.8,121.6,0.0845,45.8,51.7,17.8,16.5,30.7,35.2,42.7,50.9,44.9,53.7,31.7,31.5,70.5,-13.1,N/A
355,Bryant,AE,31,9,96.7,120.1,0.0761,46.9,52.7,20.2,14.6,27.7,31,29.4,33.5,48.7,51.8,30,36.3,64.2,-17.9,N/A
356,Binghamton,AE,31,8,98.4,123,0.0711,50,54.3,18.8,13.3,20.9,29.4,41.5,34.6,50.6,54.7,32.5,35.8,65.5,-20.4,N/A
357,Maryland Eastern Shore,MEAC,32,9,93.1,116.4,0.0711,47.8,50.7,23.8,17.9,32.4,33.6,29.5,43,49.9,51.1,29,33.5,63.3,-17.7,N/A
358,Rider,MAAC,29,4,96.4,120.6,0.0703,42.8,55.2,16.9,15.3,32.6,32.8,30.1,32.5,43.3,54,27.7,37.9,65.7,-19.7,N/A
359,UMKC,Sum,31,4,93.2,117.5,0.0652,45.7,56.3,18.2,16.4,26.4,35.9,29.2,31.4,47.6,56.2,28.4,37.6,69.7,-21.5,N/A
360,VMI,SC,32,6,98.7,124.5,0.065,47.6,57,15.3,15.7,25.6,37.2,30.6,34.6,47.9,58.9,31.5,36.5,66.8,-22.3,N/A
361,Gardner Webb,BSth,33,4,95.4,122.1,0.0553,47.8,56.9,19.8,15.3,23.2,36.6,30.3,35.2,48.6,59,31,36,69.6,-23.2,N/A
362,Delaware St.,MEAC,31,8,88.4,114.5,0.0484,42.9,52.9,19.9,19.5,27.7,32,34.1,40.5,43.1,54.8,28.4,33,65.5,-19.7,N/A
363,Coppin St.,MEAC,31,7,91.7,119.5,0.0455,45.9,55.4,22.3,17.5,30.4,34.8,38.5,42.9,45.8,53.9,30.7,38.3,68.6,-19.2,N/A
364,Mississippi Valley St.,SWAC,33,3,91.1,120.9,0.0371,45.2,55.5,21.9,17.1,26.4,35.5,33.9,50.8,45.6,55.3,29.5,37.2,67.2,-24.8,N/A
365,Western Illinois,OVC,31,5,92.8,123.4,0.0366,44.5,54.2,17.5,14.9,27,34.8,37.7,34.8,43.5,54.6,30.9,35.6,66.5,-23,N/A
